"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Hydro-Channeler","U","C","14167","5.91","2301","8.08","10348","73.2%","53.4%","1855","54.8%","2869","53.4%","4724","53.9%","5506","53.1%","0.8pp"
"Jadzi, Steward of Fate","U","R","884","1.90","492","","2888","89.5%","55.0%","490","","891","61.2%","1381","59.1%","1448","50.6%","8.5pp"
"Landscape Painter","U","C","14889","6.05","2110","8.69","8179","61.3%","52.1%","1471","49.5%","2300","56.1%","3771","53.5%","4250","50.8%","2.8pp"
"Mana Sculpt","U","R","1801","3.77","413","","1957","71.7%","56.0%","301","","589","58.7%","890","58.8%","1003","53.5%","5.2pp"
"Mathemagics","U","M","700","2.77","247","","1152","75.6%","55.0%","182","","345","","527","55.4%","581","53.9%","1.5pp"
"Matterbending Mage","U","U","4015","3.64","1105","4.32","6311","87.8%","56.6%","1085","57.0%","1823","63.1%","2908","60.8%","3220","52.9%","8.0pp"
"Muse Seeker","U","U","4825","4.40","1046","5.54","4995","76.4%","52.4%","910","52.3%","1382","52.7%","2292","52.5%","2617","52.2%","0.4pp"
"Muse's Encouragement","U","C","15938","7.12","2066","10.14","4857","37.5%","52.2%","787","50.7%","1477","56.6%","2264","54.5%","2490","49.6%","5.0pp"
"Orysa, Tide Choreographer","U","U","5215","4.80","882","6.48","3538","64.4%","53.1%","636","53.8%","1001","57.0%","1637","55.8%","1840","50.5%","5.2pp"
"Pensive Professor","U","R","942","2.10","478","","2789","90.1%","54.5%","486","","776","61.2%","1262","59.9%","1470","49.7%","10.2pp"
"Procrastinate","U","C","15497","6.86","1978","9.89","4941","40.4%","51.3%","847","46.4%","1411","55.6%","2258","52.1%","2554","49.7%","2.4pp"
"Quick Study","U","C","15548","6.48","2097","9.17","6363","48.0%","52.8%","1112","51.8%","1827","57.5%","2939","55.4%","3313","50.4%","5.0pp"
"Run Behind","U","C","14995","6.25","2550","8.36","10779","65.9%","55.4%","1800","54.4%","3197","59.0%","4997","57.4%","5545","53.3%","4.1pp"
"Skycoach Conductor","U","R","1062","2.17","514","2.23","2826","87.1%","54.1%","463","","796","57.4%","1259","56.6%","1494","51.9%","4.7pp"
"Spellbook Seeker","U","C","15020","6.42","1805","9.37","4687","41.2%","50.5%","773","49.3%","1392","52.1%","2165","51.1%","2446","49.9%","1.2pp"
"Tester of the Tangential","U","U","4999","4.65","956","6.05","4483","73.1%","53.6%","790","55.1%","1231","55.6%","2021","55.4%","2388","52.1%","3.2pp"
"Textbook Tabulator","U","C","15684","7.23","1796","10.59","3167","27.9%","51.8%","578","45.5%","855","54.2%","1433","50.7%","1682","52.4%","-1.8pp"
"Wisdom of Ages","U","R","2541","4.88","486","","1676","53.0%","55.5%","252","","574","62.2%","826","58.2%","768","50.9%","7.3pp"
"Adventurous Eater","B","C","13975","5.49","1849","7.86","8332","71.2%","54.5%","1435","54.9%","2001","54.7%","3436","54.8%","4845","54.4%","0.4pp"
"Arcane Omens","B","U","6969","7.24","1124","9.58","1976","27.8%","56.9%","326","","578","64.5%","904","60.8%","1039","52.6%","8.2pp"
"Arnyn, Deathbloom Botanist","B","U","4575","4.40","685","6.05","2677","62.7%","51.4%","459","","701","50.4%","1160","50.1%","1499","52.2%","-2.1pp"
"Burrog Banemaker","B","C","14154","5.72","1856","8.25","7780","64.2%","54.5%","1347","53.5%","1933","53.4%","3280","53.4%","4449","55.2%","-1.8pp"
"Cheerful Osteomancer","B","C","14596","5.94","1844","8.57","6484","55.8%","53.0%","1045","48.9%","1615","55.1%","2660","52.7%","3742","53.2%","-0.5pp"
"Cost of Brilliance","B","C","14785","6.24","2058","8.67","7556","57.6%","56.8%","1288","55.5%","1833","58.0%","3121","57.0%","4390","56.6%","0.4pp"
"Decorum Dissertation","B","M","435","","192","","952","78.7%","52.5%","149","","237","","386","","554","52.5%",""
"Dissection Practice","B","U","4644","4.31","869","5.60","3979","73.0%","54.9%","715","56.9%","945","58.2%","1660","57.7%","2309","52.9%","4.7pp"
"Emeritus of Woe","B","M","359","","260","","1353","85.6%","56.1%","245","","369","","614","60.4%","714","52.1%","8.3pp"
"End of the Hunt","B","U","3764","3.37","1013","3.95","5590","84.6%","57.2%","1027","57.6%","1348","60.2%","2375","59.1%","3167","55.4%","3.7pp"
"Eternal Student","B","U","5040","4.53","1004","5.89","4731","74.7%","55.9%","770","58.1%","1168","55.8%","1938","56.7%","2769","55.4%","1.3pp"
"Foolish Fate","B","U","2923","2.71","996","3.05","5901","92.4%","56.8%","993","55.8%","1505","60.9%","2498","58.9%","3339","55.0%","3.8pp"
"Forum Necroscribe","B","U","4082","3.85","816","4.85","4031","78.5%","52.6%","629","50.9%","1003","51.7%","1632","51.4%","2349","53.4%","-2.0pp"
"Grave Researcher","B","R","881","1.83","437","","2423","91.3%","54.6%","401","","599","55.3%","1000","55.6%","1394","53.2%","2.4pp"
"Last Gasp","B","C","10066","3.80","2250","4.82","13031","88.0%","57.1%","2259","58.8%","3223","59.0%","5482","58.9%","7437","55.5%","3.4pp"
"Lecturing Scornmage","B","U","4186","4.02","847","4.93","4286","75.9%","57.6%","764","60.7%","990","55.7%","1754","57.9%","2516","57.5%","0.4pp"
"Leech Collector","B","U","4746","4.40","751","5.78","3395","73.3%","51.8%","596","51.8%","848","50.9%","1444","51.3%","1913","52.1%","-0.7pp"
"Masterful Flourish","B","C","16215","7.20","1778","10.57","3068","26.8%","55.7%","482","","751","56.1%","1233","55.9%","1822","55.5%","0.3pp"
"Melancholic Poet","B","C","13519","5.32","2008","7.31","9946","76.9%","56.0%","1782","56.6%","2343","57.3%","4125","57.0%","5774","55.3%","1.6pp"
"Moseo, Vein's New Dean","B","R","888","1.89","478","","2586","87.1%","56.3%","461","","665","60.9%","1126","61.0%","1417","52.5%","8.5pp"
"Poisoner's Apprentice","B","U","4206","3.93","901","4.84","4481","80.3%","54.3%","809","54.3%","1077","57.1%","1886","55.9%","2518","53.0%","2.9pp"
"Postmortem Professor","B","R","1106","2.33","419","","2200","84.1%","57.2%","378","","498","","876","59.9%","1317","55.4%","4.6pp"
"Pox Plague","B","R","3158","6.31","354","","19","0.9%","","4","","4","","8","","10","",""
"Pull from the Grave","B","C","15975","6.90","1928","9.92","4075","33.9%","52.6%","668","46.7%","1042","52.4%","1710","50.2%","2350","54.3%","-4.1pp"
"Rabid Attack","B","U","6253","6.25","695","8.85","1449","32.5%","53.6%","249","","327","","576","50.9%","867","55.7%","-4.8pp"
"Ral Zarek, Guest Lecturer","B","M","340","","182","","862","78.3%","52.1%","150","","211","","361","","486","",""
"Scathing Shadelock","B","U","4845","4.55","648","6.43","2899","71.0%","53.3%","495","","724","52.8%","1219","51.4%","1664","54.0%","-2.6pp"
"Scheming Silvertongue","B","R","808","1.77","431","","2513","88.1%","56.1%","470","","616","56.2%","1086","58.3%","1394","54.4%","3.9pp"
"Send in the Pest","B","C","13892","5.52","2151","7.56","9339","67.7%","55.4%","1685","56.6%","2231","55.8%","3916","56.2%","5384","54.8%","1.4pp"
"Sneering Shadewriter","B","C","15473","6.47","1889","9.46","5816","49.8%","53.4%","1021","50.0%","1373","54.8%","2394","52.8%","3362","53.8%","-1.0pp"
"Tragedy Feaster","B","R","1167","2.48","363","","1963","83.6%","55.2%","338","","456","","794","57.4%","1136","53.8%","3.6pp"
"Ulna Alley Shopkeep","B","C","16226","7.49","1747","11.07","1938","17.7%","50.3%","321","","436","","757","49.9%","1162","50.9%","-1.0pp"
"Wander Off","B","C","10191","3.82","1998","5.09","11128","87.2%","54.6%","1841","51.3%","2885","57.3%","4726","55.0%","6280","54.1%","0.8pp"
"Withering Curse","B","M","529","2.44","167","","628","61.8%","55.1%","125","","156","","281","","340","",""
"Ancestral Anger","R","C","16174","7.79","2257","10.81","2762","19.2%","56.6%","451","","774","57.9%","1225","57.1%","1502","55.5%","1.6pp"
"Archaic's Agony","R","U","6892","7.10","1168","9.55","2328","31.4%","56.9%","376","","700","61.7%","1076","60.1%","1205","53.3%","6.9pp"
"Artistic Process","R","U","4495","3.89","1144","4.83","6082","83.7%","56.0%","1014","55.8%","1758","59.3%","2772","58.0%","3123","53.6%","4.4pp"
"Blazing Firesinger","R","U","5417","5.25","851","7.06","3095","58.5%","51.7%","508","48.0%","845","52.2%","1353","50.6%","1708","52.4%","-1.8pp"
"Charging Strifeknight","R","U","4992","4.53","1174","5.54","6146","81.9%","56.8%","1089","56.8%","1748","58.9%","2837","58.1%","3262","55.5%","2.6pp"
"Choreographed Sparks","R","R","2857","5.36","326","","292","14.3%","","49","","79","","128","","160","",""
"Duel Tactics","R","U","6421","6.40","961","8.89","2409","37.7%","55.5%","401","","612","58.2%","1013","57.6%","1385","53.6%","4.0pp"
"Emeritus of Conflict","R","M","445","","244","","1341","86.6%","56.9%","217","","360","","577","56.5%","731","57.2%","-0.7pp"
"Expressive Firedancer","R","C","14937","6.40","2393","8.79","8549","55.9%","56.3%","1526","59.5%","2335","55.4%","3861","57.0%","4615","55.7%","1.4pp"
"Flashback","R","R","2103","4.26","376","","1261","52.5%","55.7%","211","","382","","593","57.0%","644","54.5%","2.5pp"
"Garrison Excavator","R","U","4839","4.61","1171","5.45","5789","75.3%","58.2%","999","56.5%","1529","59.2%","2528","58.1%","3251","58.3%","-0.2pp"
"Goblin Glasswright","R","C","13382","5.32","2492","7.15","11614","73.7%","54.0%","2051","53.8%","3152","54.1%","5203","54.0%","6279","54.0%","-0.1pp"
"Heated Argument","R","C","14418","5.92","2546","8.08","10774","66.1%","56.3%","1800","53.6%","3086","61.1%","4886","58.3%","5708","54.4%","4.0pp"
"Impractical Joke","R","U","3468","3.17","1314","3.66","7876","92.9%","56.8%","1392","56.5%","2211","61.4%","3603","59.5%","4136","54.2%","5.3pp"
"Improvisation Capstone","R","M","430","","287","","1729","86.6%","61.4%","275","","544","66.5%","819","67.4%","839","54.4%","13.0pp"
"Living History","R","U","5809","5.67","1211","6.88","5393","70.7%","57.0%","945","58.4%","1482","56.8%","2427","57.4%","2949","56.5%","0.9pp"
"Maelstrom Artisan","R","R","2203","4.40","323","","950","47.0%","52.5%","167","","256","","423","","516","53.1%",""
"Magmablood Archaic","R","R","1182","2.47","528","2.54","2976","86.0%","56.1%","516","57.8%","879","58.9%","1395","58.5%","1523","52.7%","5.8pp"
"Mica, Reader of Ruins","R","U","6235","5.83","899","8.24","2246","37.9%","54.3%","388","","622","59.6%","1010","55.4%","1212","53.2%","2.2pp"
"Molten-Core Maestro","R","R","887","1.92","537","1.96","3203","93.0%","57.5%","593","63.4%","883","60.0%","1476","61.4%","1687","53.8%","7.6pp"
"Pigment Wrangler","R","U","4522","4.18","974","5.25","4826","79.3%","53.4%","797","51.6%","1386","52.9%","2183","52.4%","2583","54.0%","-1.6pp"
"Rearing Embermare","R","C","16509","7.99","2033","11.51","1499","11.2%","51.8%","265","","394","","659","53.9%","835","49.9%","3.9pp"
"Rubble Rouser","R","C","14162","5.82","2937","7.50","14155","74.9%","57.9%","2556","60.4%","3833","59.8%","6389","60.1%","7688","56.0%","4.1pp"
"Seize the Spoils","R","C","15427","6.74","2277","9.56","6051","41.4%","54.1%","1105","53.6%","1734","56.7%","2839","55.5%","3148","52.7%","2.8pp"
"Steal the Show","R","R","1995","4.27","347","","1216","53.5%","53.5%","202","","357","","559","53.0%","641","53.2%","-0.2pp"
"Strife Scholar","R","C","15908","7.06","2053","10.16","4230","32.6%","53.4%","719","50.8%","1113","53.6%","1832","52.5%","2367","53.8%","-1.3pp"
"Tablet of Discovery","R","U","5234","4.92","1070","6.20","4310","63.5%","57.4%","762","58.5%","1211","60.0%","1973","59.5%","2257","55.7%","3.8pp"
"Tackle Artist","R","C","15083","6.53","2092","9.32","6295","48.2%","53.9%","1073","52.2%","1841","55.1%","2914","54.0%","3294","53.6%","0.4pp"
"Thunderdrum Soloist","R","U","4921","4.54","932","5.81","4577","76.6%","55.9%","787","57.6%","1265","58.3%","2052","58.0%","2440","53.6%","4.3pp"
"Tome Blast","R","C","12483","4.78","2912","6.05","16172","86.4%","56.9%","2881","56.7%","4414","60.0%","7295","58.7%","8665","55.1%","3.6pp"
"Unsubtle Mockery","R","C","10520","4.18","2773","5.30","16403","91.3%","56.9%","2815","57.1%","4639","61.0%","7454","59.5%","8636","54.5%","5.0pp"
"Zealous Lorecaster","R","C","16427","7.20","2466","10.08","6111","38.5%","54.9%","1010","50.0%","1763","56.9%","2773","54.4%","3252","54.8%","-0.4pp"
"Aberrant Manawurm","G","U","5845","5.65","718","8.12","2195","47.9%","51.1%","360","","587","53.3%","947","51.8%","1224","50.4%","1.4pp"
"Additive Evolution","G","U","4005","3.67","909","4.22","5033","84.2%","56.2%","768","57.6%","1321","60.9%","2089","59.6%","2873","53.5%","6.1pp"
"Ambitious Augmenter","G","R","1055","2.15","492","","2634","83.9%","56.7%","475","","644","62.1%","1119","62.8%","1473","52.6%","10.2pp"
"Burrog Barrage","G","C","13588","5.41","2167","7.16","10457","74.8%","53.9%","1757","52.8%","2759","57.4%","4516","55.6%","5844","52.5%","3.1pp"
"Chelonian Tackle","G","U","6160","5.74","780","8.15","2484","49.2%","52.4%","419","","622","54.0%","1041","51.5%","1420","53.0%","-1.5pp"
"Comforting Counsel","G","R","1930","4.06","276","","746","44.6%","49.3%","118","","182","","300","","443","",""
"Efflorescence","G","C","16542","7.75","1593","11.59","1112","11.3%","48.7%","171","","256","","427","","682","48.8%",""
"Emeritus of Abundance","G","M","368","","234","","1329","89.4%","55.8%","236","","350","","586","60.1%","698","52.7%","7.3pp"
"Emil, Vastlands Roamer","G","U","4492","4.13","823","5.43","4139","79.6%","53.1%","728","49.9%","1166","58.5%","1894","55.2%","2174","51.9%","3.2pp"
"Environmental Scientist","G","U","3150","2.88","1134","3.24","6680","88.6%","55.9%","1261","62.3%","1731","59.8%","2992","60.9%","3576","51.6%","9.2pp"
"Follow the Lumarets","G","C","15761","7.08","1902","10.11","4303","35.4%","52.7%","779","50.3%","1056","52.4%","1835","51.5%","2448","53.6%","-2.1pp"
"Germination Practicum","G","M","377","","246","","1373","90.9%","54.9%","246","","351","","597","57.5%","747","52.2%","5.2pp"
"Glorious Decay","G","C","16514","7.90","1610","11.82","733","7.2%","48.3%","141","","193","","334","","399","",""
"Hungry Graffalon","G","C","16225","7.43","1616","11.11","2241","22.0%","50.8%","398","","579","52.2%","977","51.2%","1245","50.6%","0.6pp"
"Infirmary Healer","G","U","5161","4.57","889","6.12","4556","80.3%","55.3%","804","56.0%","1166","55.9%","1970","55.9%","2544","54.6%","1.3pp"
"Lumaret's Favor","G","U","6676","6.85","769","10.16","1121","23.9%","50.8%","169","","262","","431","","690","50.1%",""
"Mindful Biomancer","G","C","14695","6.16","1857","8.84","7114","60.0%","52.8%","1312","50.9%","1696","55.0%","3008","53.2%","4025","52.5%","0.8pp"
"Noxious Newt","G","C","11480","4.33","2005","5.79","11283","87.7%","54.9%","2107","56.8%","2831","56.6%","4938","56.6%","6218","53.6%","3.1pp"
"Oracle's Restoration","G","C","16277","7.40","1679","10.99","2470","24.2%","50.2%","442","","572","48.6%","1014","49.4%","1447","50.7%","-1.2pp"
"Pestbrood Sloth","G","U","3941","3.65","1040","4.48","5592","86.0%","56.9%","957","60.7%","1505","59.4%","2462","59.9%","3040","54.0%","5.9pp"
"Planar Engineering","G","R","2159","4.38","320","","896","44.4%","52.0%","149","","229","","378","","512","50.0%",""
"Shopkeeper's Bane","G","C","15027","6.37","1698","9.33","5622","52.8%","52.2%","998","53.8%","1340","52.6%","2338","53.1%","3230","51.7%","1.5pp"
"Slumbering Trudge","G","R","1016","2.17","466","","2702","89.4%","57.2%","486","","755","59.1%","1241","60.8%","1413","53.6%","7.2pp"
"Snarl Song","G","U","5732","5.29","1333","6.05","5960","68.7%","57.2%","1001","57.5%","1786","63.5%","2787","61.4%","3018","52.6%","8.8pp"
"Studious First-Year","G","C","10406","3.93","2165","4.95","11761","85.6%","54.6%","2258","60.2%","2993","55.6%","5251","57.6%","6385","52.0%","5.6pp"
"Tenured Concocter","G","C","15851","6.83","1835","9.94","5133","46.8%","51.5%","813","47.4%","1307","53.6%","2120","51.2%","2962","51.2%","-0.0pp"
"Thornfist Striker","G","U","5070","4.67","849","6.30","4111","74.9%","55.8%","681","57.0%","1019","57.9%","1700","57.5%","2370","54.1%","3.4pp"
"Topiary Lecturer","G","U","4567","4.14","834","5.46","4140","78.9%","53.8%","748","57.4%","1059","54.1%","1807","55.5%","2293","52.5%","3.0pp"
"Vastlands Scavenger","G","R","819","1.91","413","","2249","86.9%","53.6%","399","","589","58.1%","988","56.7%","1223","51.2%","5.5pp"
"Wild Hypothesis","G","C","15541","6.76","1692","10.03","4299","39.9%","52.3%","702","51.0%","1194","54.4%","1896","53.1%","2272","50.9%","2.2pp"
"Wildgrowth Archaic","G","R","899","1.89","458","","2692","91.1%","53.8%","522","61.9%","705","54.3%","1227","57.5%","1416","50.3%","7.3pp"
"Zimone's Experiment","G","U","6058","5.77","790","8.36","2088","43.5%","52.0%","347","","579","59.2%","926","55.5%","1137","49.3%","6.3pp"
"Abigale, Poet Laureate","WB","U","3921","3.73","789","4.48","4079","79.2%","55.9%","729","57.3%","996","54.0%","1725","55.4%","2341","56.2%","-0.8pp"
"Abstract Paintmage","UR","U","4985","4.75","926","6.18","4153","68.9%","52.5%","744","50.1%","1234","51.9%","1978","51.3%","2112","53.4%","-2.1pp"
"Applied Geometry","UG","R","1155","2.39","513","2.45","2667","82.4%","55.2%","463","","789","59.4%","1252","58.9%","1362","51.5%","7.5pp"
"Ark of Hunger","WR","R","1059","2.33","611","2.26","3451","87.5%","59.1%","618","65.9%","962","63.2%","1580","64.2%","1842","54.5%","9.7pp"
"Aziza, Mage Tower Captain","WR","R","1674","3.41","517","3.68","2412","75.4%","54.1%","425","","642","53.3%","1067","54.0%","1342","54.2%","-0.2pp"
"Berta, Wise Extrapolator","UG","R","1015","2.25","474","","2643","87.1%","53.0%","472","","714","56.6%","1186","54.1%","1390","51.5%","2.6pp"
"Blech, Loafing Pest","BG","R","1037","2.37","411","","2093","81.1%","55.7%","382","","516","58.1%","898","58.5%","1168","53.3%","5.2pp"
"Bogwater Lumaret","BG","C","11312","4.59","1997","6.04","10175","82.1%","54.8%","1798","56.7%","2519","55.1%","4317","55.7%","5721","54.1%","1.7pp"
"Borrowed Knowledge","WR","U","6936","7.68","770","11.33","210","4.2%","","33","","56","","89","","121","",""
"Cauldron of Essence","BG","R","1126","2.50","408","","1927","76.6%","54.2%","362","","480","","842","57.8%","1069","51.3%","6.6pp"
"Colorstorm Stallion","UR","R","1001","2.18","503","2.24","2951","88.5%","58.9%","483","","887","62.1%","1370","63.8%","1473","53.6%","10.2pp"
"Colossus of the Blood Age","WR","U","4531","4.36","1297","5.10","6697","79.9%","57.4%","1090","56.3%","1901","61.8%","2991","59.8%","3693","55.3%","4.5pp"
"Conciliator's Duelist","WB","R","1306","2.74","457","","2277","76.5%","56.5%","370","","604","56.8%","974","56.2%","1282","56.3%","-0.2pp"
"Cuboid Colony","UG","U","4425","4.14","867","5.33","4213","77.3%","55.0%","737","58.8%","1145","57.9%","1882","58.2%","2262","52.5%","5.8pp"
"Dina's Guidance","BG","R","2480","4.96","268","","195","11.7%","","33","","54","","87","","108","",""
"Elemental Mascot","UR","C","14240","6.04","2249","8.24","9355","63.6%","54.5%","1604","54.0%","2682","56.7%","4286","55.7%","4874","53.2%","2.5pp"
"Embrace the Paradox","UG","C","14929","6.33","2118","8.86","7322","54.2%","54.0%","1161","51.6%","2120","58.6%","3281","56.1%","3946","52.3%","3.9pp"
