"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Erode","W","R","1206","2.46","410","","2173","86.3%","55.3%","363","","587","62.0%","950","58.8%","1203","52.5%","6.4pp"
"Graduation Day","W","U","4830","5.07","680","6.96","2055","48.1%","51.6%","334","","494","","828","48.3%","1224","53.8%","-5.5pp"
"Group Project","W","U","4421","4.44","1162","5.40","5970","81.4%","56.6%","1059","53.2%","1522","56.9%","2581","55.4%","3378","57.6%","-2.2pp"
"Harsh Annotation","W","U","5518","5.79","514","8.95","956","30.3%","49.5%","161","","232","","393","","556","48.9%",""
"Honorbound Page","W","C","14470","6.40","1838","9.21","4963","43.2%","52.5%","921","49.7%","1212","52.8%","2133","51.5%","2806","53.3%","-1.8pp"
"Informed Inkwright","W","R","820","1.86","493","","2874","90.4%","58.4%","515","68.0%","789","59.2%","1304","62.7%","1557","54.8%","7.8pp"
"Inkshape Demonstrator","W","U","4393","4.34","946","5.30","4791","77.1%","56.3%","793","58.1%","1289","57.9%","2082","58.0%","2701","55.0%","3.0pp"
"Interjection","W","C","15318","7.33","2050","10.48","3203","25.1%","54.8%","544","56.8%","756","52.6%","1300","54.4%","1889","55.1%","-0.7pp"
"Joined Researchers","W","R","1936","3.93","399","","1889","73.2%","55.7%","361","","478","","839","56.6%","1051","54.8%","1.8pp"
"Owlin Historian","W","C","14082","6.26","2077","8.76","8031","60.0%","56.6%","1451","55.8%","2065","56.4%","3516","56.2%","4520","56.9%","-0.8pp"
"Practiced Offense","W","R","839","1.85","530","1.83","3229","91.5%","58.8%","569","63.1%","808","65.6%","1377","64.6%","1837","54.2%","10.4pp"
"Primary Research","W","U","4522","4.72","910","5.99","3963","66.0%","57.6%","683","55.8%","1054","58.0%","1737","57.1%","2218","57.8%","-0.7pp"
"Quill-Blade Laureate","W","U","3671","3.67","993","4.40","5142","86.5%","56.3%","928","56.8%","1279","58.1%","2207","57.5%","2912","55.2%","2.3pp"
"Rapier Wit","W","C","15006","7.06","1945","10.11","3776","31.0%","53.9%","648","52.3%","952","53.9%","1600","53.3%","2157","54.2%","-1.0pp"
"Rehearsed Debater","W","C","14694","6.66","2077","9.35","5736","45.3%","53.1%","1023","54.3%","1343","51.4%","2366","52.7%","3360","53.4%","-0.8pp"
"Restoration Seminar","W","M","438","","233","","1313","84.8%","55.9%","230","","359","","589","57.7%","713","54.3%","3.4pp"
"Shattered Acolyte","W","C","13929","5.98","2091","8.30","8752","64.2%","55.8%","1618","56.1%","2036","52.8%","3654","54.3%","5083","56.9%","-2.6pp"
"Soaring Stoneglider","W","U","4582","4.41","843","5.70","4146","75.2%","54.7%","711","51.1%","1109","57.8%","1820","55.2%","2328","54.3%","0.9pp"
"Spiritcall Enthusiast","W","U","4959","5.13","781","7.03","2551","52.1%","52.1%","469","","593","51.6%","1062","50.2%","1491","53.4%","-3.2pp"
"Stand Up for Yourself","W","U","4282","4.20","973","5.13","5038","83.3%","56.9%","873","54.4%","1361","59.3%","2234","57.4%","2777","56.5%","0.9pp"
"Stirring Hopesinger","W","R","700","1.66","470","","2788","94.5%","57.7%","476","","788","60.4%","1264","61.6%","1510","54.1%","7.4pp"
"Stone Docent","W","C","13364","5.79","2501","7.60","12686","77.9%","57.8%","2186","57.0%","3164","56.7%","5350","56.9%","7327","58.6%","-1.7pp"
"Summoned Dromedary","W","U","4737","4.78","851","6.51","3762","66.9%","55.1%","625","54.1%","970","56.5%","1595","55.5%","2170","54.7%","0.8pp"
"Banishing Betrayal","U","C","14517","6.47","2067","9.23","7065","53.9%","52.8%","1224","51.5%","1996","58.0%","3220","55.5%","3683","50.2%","5.3pp"
"Brush Off","U","U","5750","6.02","934","7.91","2970","50.6%","54.3%","521","54.7%","896","59.9%","1417","58.0%","1470","50.1%","7.9pp"
"Campus Composer","U","U","4499","4.28","879","5.53","4301","78.6%","53.8%","729","52.9%","1257","55.7%","1986","54.7%","2237","52.8%","1.9pp"
"Chase Inspiration","U","C","15790","8.06","1905","11.59","1847","15.5%","53.8%","329","","504","54.8%","833","51.9%","988","54.4%","-2.5pp"
"Deluge Virtuoso","U","C","14249","6.32","1750","9.09","5431","48.5%","52.1%","944","49.9%","1557","54.7%","2501","52.9%","2840","51.3%","1.5pp"
"Divergent Equation","U","U","5703","5.72","1207","7.25","4653","61.4%","57.0%","746","53.2%","1458","62.3%","2204","59.2%","2247","52.9%","6.3pp"
"Echocasting Symposium","U","M","340","","216","","1233","88.1%","54.3%","192","","366","","558","57.9%","630","49.8%","8.0pp"
"Emeritus of Ideation","U","M","290","","209","","1253","88.7%","59.0%","208","","385","","593","65.6%","626","52.4%","13.2pp"
"Encouraging Aviator","U","U","4995","4.98","737","6.60","2976","63.3%","51.5%","470","","848","53.8%","1318","52.9%","1613","50.6%","2.3pp"
"Essence Scatter","U","C","12689","5.32","2531","7.05","12597","78.9%","55.4%","2174","55.8%","3695","58.2%","5869","57.3%","6432","53.3%","4.0pp"
"Exhibition Tidecaller","U","R","1237","2.83","543","2.92","2929","85.3%","57.0%","539","59.0%","863","63.5%","1402","61.8%","1442","51.1%","10.7pp"
"Flow State","U","U","4063","3.84","1045","4.63","5442","83.0%","55.3%","968","55.1%","1616","58.7%","2584","57.4%","2715","52.8%","4.6pp"
"Fractal Anomaly","U","U","6407","7.04","796","10.39","742","15.0%","45.6%","142","","217","","359","","373","",""
"Fractalize","U","U","6306","6.72","803","9.68","1372","27.3%","52.9%","235","","355","","590","54.6%","765","51.8%","2.8pp"
"Harmonized Trio","U","R","1443","3.05","392","","1798","71.7%","54.3%","274","","525","58.3%","799","58.7%","970","50.3%","8.4pp"
"Homesickness","U","U","5053","5.00","909","6.63","3747","67.4%","54.1%","648","51.2%","1090","57.6%","1738","55.2%","1908","52.3%","3.0pp"
"Hydro-Channeler","U","C","13579","5.91","2163","8.12","9786","71.7%","53.8%","1811","53.2%","2753","55.4%","4564","54.5%","5120","53.2%","1.4pp"
"Jadzi, Steward of Fate","U","R","840","1.93","488","","2764","89.5%","55.7%","532","53.4%","771","62.0%","1303","58.5%","1386","52.3%","6.2pp"
"Landscape Painter","U","C","14091","6.09","1881","8.63","7422","61.6%","53.2%","1284","52.1%","2101","55.7%","3385","54.3%","3911","52.3%","2.0pp"
"Mana Sculpt","U","R","1874","3.68","489","","2346","74.4%","55.3%","390","","708","60.2%","1098","57.9%","1195","52.4%","5.5pp"
"Mathemagics","U","M","654","2.76","273","","1325","83.0%","55.3%","256","","412","","668","61.4%","597","47.4%","14.0pp"
"Matterbending Mage","U","U","3834","3.70","1161","4.35","6590","90.5%","56.1%","1193","57.3%","1840","60.4%","3033","59.1%","3403","53.1%","6.1pp"
"Muse Seeker","U","U","4594","4.53","902","5.77","4249","75.2%","52.4%","803","52.6%","1219","54.2%","2022","53.6%","2162","51.6%","2.0pp"
"Muse's Encouragement","U","C","15184","7.15","1998","10.08","4512","35.9%","52.5%","735","50.5%","1349","56.6%","2084","54.5%","2334","50.0%","4.4pp"
"Orysa, Tide Choreographer","U","U","4963","4.92","819","6.75","3125","60.9%","52.9%","537","49.0%","910","54.3%","1447","52.3%","1622","53.5%","-1.1pp"
"Pensive Professor","U","R","933","2.12","424","","2443","89.0%","55.1%","432","","710","58.7%","1142","59.8%","1226","50.5%","9.3pp"
"Procrastinate","U","C","14559","6.91","1834","9.98","4555","39.1%","51.5%","795","47.4%","1310","57.2%","2105","53.5%","2334","49.9%","3.6pp"
"Quick Study","U","C","14270","6.43","2041","9.22","6391","49.8%","53.3%","1100","51.2%","1839","57.3%","2939","55.0%","3314","51.6%","3.4pp"
"Run Behind","U","C","14279","6.15","2475","8.28","10794","69.2%","55.7%","1827","55.7%","3153","59.1%","4980","57.8%","5583","53.7%","4.1pp"
"Skycoach Conductor","U","R","1053","2.33","463","","2463","84.9%","55.1%","401","","753","59.9%","1154","58.2%","1253","51.8%","6.4pp"
"Spellbook Seeker","U","C","14439","6.52","1729","9.67","4080","38.8%","50.6%","670","46.4%","1207","55.7%","1877","52.4%","2139","49.4%","3.0pp"
"Tester of the Tangential","U","U","4524","4.52","808","5.87","3682","73.5%","51.9%","639","52.0%","995","51.9%","1634","51.9%","1997","51.5%","0.4pp"
"Textbook Tabulator","U","C","15187","7.29","1782","10.60","3001","26.7%","51.2%","561","48.0%","829","55.1%","1390","52.2%","1566","50.1%","2.1pp"
"Wisdom of Ages","U","R","2376","4.73","475","","1644","55.4%","55.2%","282","","508","63.2%","790","58.4%","797","51.1%","7.3pp"
"Adventurous Eater","B","C","13150","5.43","1693","7.85","7367","69.0%","54.0%","1323","50.6%","1813","55.2%","3136","53.2%","4177","54.5%","-1.3pp"
"Arcane Omens","B","U","6193","6.80","1102","8.46","2986","41.1%","58.8%","532","58.1%","847","63.9%","1379","61.6%","1540","55.6%","6.0pp"
"Arnyn, Deathbloom Botanist","B","U","4527","4.43","613","6.06","2412","64.3%","51.2%","430","","573","52.2%","1003","51.2%","1379","51.0%","0.3pp"
"Burrog Banemaker","B","C","13486","5.76","1740","8.34","6816","63.8%","52.8%","1238","55.5%","1615","53.9%","2853","54.6%","3908","51.4%","3.2pp"
"Cheerful Osteomancer","B","C","14030","6.04","1735","8.87","5804","52.7%","52.3%","989","51.9%","1421","51.7%","2410","51.8%","3322","52.8%","-1.0pp"
"Cost of Brilliance","B","C","14091","6.28","1935","8.73","6891","56.9%","57.2%","1215","58.4%","1737","58.0%","2952","58.2%","3886","56.2%","2.0pp"
"Decorum Dissertation","B","M","455","","200","","989","80.3%","52.8%","161","","254","","415","","565","50.1%",""
"Dissection Practice","B","U","4487","4.20","786","5.46","3733","75.5%","56.0%","669","56.2%","886","56.7%","1555","56.5%","2142","55.3%","1.1pp"
"Emeritus of Woe","B","M","335","","241","","1427","89.6%","56.7%","257","","383","","640","63.0%","776","51.4%","11.6pp"
"End of the Hunt","B","U","3484","3.44","918","4.17","5070","85.7%","55.9%","886","55.8%","1319","60.6%","2205","58.6%","2825","53.7%","5.0pp"
"Eternal Student","B","U","4704","4.50","916","5.82","4513","75.5%","55.5%","784","53.6%","1035","56.0%","1819","55.0%","2679","55.9%","-0.9pp"
"Foolish Fate","B","U","2762","2.68","914","3.15","5393","92.0%","55.9%","944","52.0%","1346","59.6%","2290","56.5%","3051","55.4%","1.0pp"
"Forum Necroscribe","B","U","3998","3.93","755","4.97","3496","75.5%","53.4%","599","49.1%","847","54.5%","1446","52.3%","2014","53.9%","-1.6pp"
"Grave Researcher","B","R","791","1.91","353","","1877","87.3%","52.7%","322","","498","","820","56.2%","1027","49.2%","7.0pp"
"Last Gasp","B","C","9214","3.81","2145","4.84","12151","89.1%","55.9%","2080","54.9%","3006","58.1%","5086","56.7%","6943","55.3%","1.5pp"
"Lecturing Scornmage","B","U","4013","4.08","850","5.00","4463","83.0%","56.7%","810","60.9%","1004","54.8%","1814","57.5%","2628","56.4%","1.1pp"
"Leech Collector","B","U","4576","4.42","697","6.05","3030","70.7%","51.4%","529","51.0%","699","50.2%","1228","50.6%","1768","52.1%","-1.6pp"
"Masterful Flourish","B","C","15336","7.21","1690","10.49","3044","28.9%","52.4%","505","50.7%","689","54.3%","1194","52.8%","1837","52.0%","0.7pp"
"Melancholic Poet","B","C","12654","5.38","1925","7.32","9049","75.7%","54.6%","1626","54.7%","2144","55.0%","3770","54.9%","5232","54.4%","0.5pp"
"Moseo, Vein's New Dean","B","R","838","1.90","427","","2426","88.3%","57.2%","414","","602","61.6%","1016","61.2%","1357","53.6%","7.6pp"
"Poisoner's Apprentice","B","U","4075","3.90","761","4.93","3739","77.6%","53.7%","635","54.6%","887","55.6%","1522","55.2%","2155","52.3%","2.9pp"
"Postmortem Professor","B","R","1052","2.31","416","","2277","87.4%","56.0%","444","","522","54.4%","966","60.0%","1298","52.9%","7.2pp"
"Pox Plague","B","R","3091","6.36","324","","30","1.5%","","6","","6","","12","","18","",""
"Pull from the Grave","B","C","15085","6.90","1750","10.09","3444","31.1%","53.6%","582","49.7%","845","53.7%","1427","52.1%","2002","54.5%","-2.5pp"
"Rabid Attack","B","U","6075","6.36","714","9.28","1368","30.8%","53.6%","228","","332","","560","51.6%","802","54.7%","-3.1pp"
"Ral Zarek, Guest Lecturer","B","M","347","","157","","737","79.3%","52.8%","134","","201","","335","","395","",""
"Scathing Shadelock","B","U","4667","4.74","658","6.43","2653","67.1%","51.7%","447","","647","54.9%","1094","51.1%","1551","51.9%","-0.8pp"
"Scheming Silvertongue","B","R","797","1.84","391","","2235","87.6%","57.6%","381","","594","62.5%","975","61.9%","1237","54.3%","7.6pp"
"Send in the Pest","B","C","13035","5.59","1938","7.59","8374","67.8%","55.2%","1497","55.0%","2015","57.0%","3512","56.2%","4832","54.5%","1.7pp"
"Sneering Shadewriter","B","C","14670","6.47","1685","9.50","4916","46.4%","52.6%","803","52.3%","1247","55.8%","2050","54.4%","2796","50.9%","3.5pp"
"Tragedy Feaster","B","R","1108","2.41","330","","1748","84.6%","54.1%","268","","472","","740","53.2%","988","54.5%","-1.2pp"
"Ulna Alley Shopkeep","B","C","15447","7.52","1524","11.22","2089","21.7%","50.1%","360","","489","","849","49.6%","1228","50.2%","-0.6pp"
"Wander Off","B","C","9626","3.83","1916","5.10","10480","87.1%","54.4%","1748","51.1%","2628","57.2%","4376","54.8%","6020","53.9%","0.9pp"
"Withering Curse","B","M","528","2.36","165","","668","69.1%","52.4%","132","","159","","291","","374","",""
"Ancestral Anger","R","C","15598","7.85","2132","10.86","2257","16.7%","50.9%","379","","595","52.3%","974","52.5%","1260","49.4%","3.0pp"
"Archaic's Agony","R","U","6395","6.87","1201","8.89","3012","39.8%","56.4%","490","","922","64.3%","1412","60.8%","1545","51.9%","8.9pp"
"Artistic Process","R","U","4081","4.02","1034","4.97","5558","81.3%","56.9%","963","53.5%","1631","63.1%","2594","59.5%","2813","54.3%","5.2pp"
"Blazing Firesinger","R","U","5359","5.48","771","7.56","2351","51.1%","50.2%","402","","623","49.4%","1025","49.7%","1300","50.8%","-1.1pp"
"Charging Strifeknight","R","U","4800","4.65","1065","5.82","5954","82.8%","58.1%","1013","57.2%","1688","58.6%","2701","58.1%","3219","58.0%","0.1pp"
"Choreographed Sparks","R","R","2762","5.62","341","","272","13.6%","","46","","81","","127","","140","",""
"Duel Tactics","R","U","5997","6.40","894","8.98","2229","39.1%","55.9%","383","","607","56.0%","990","55.8%","1226","55.8%","-0.0pp"
"Emeritus of Conflict","R","M","423","","203","","1191","87.1%","56.2%","226","","359","","585","55.7%","585","56.4%","-0.7pp"
"Expressive Firedancer","R","C","13973","6.30","2151","8.59","8362","59.6%","55.2%","1496","54.3%","2307","54.6%","3803","54.5%","4491","55.8%","-1.3pp"
"Flashback","R","R","2145","4.25","372","","1274","54.4%","54.2%","206","","359","","565","56.6%","679","51.7%","4.9pp"
"Garrison Excavator","R","U","4489","4.62","1051","5.57","5167","74.9%","57.8%","850","55.9%","1458","58.6%","2308","57.6%","2860","57.9%","-0.3pp"
"Goblin Glasswright","R","C","12606","5.42","2203","7.45","10224","72.2%","53.5%","1848","55.1%","2883","55.1%","4731","55.1%","5372","51.7%","3.4pp"
"Heated Argument","R","C","13513","5.86","2315","8.09","9969","67.9%","56.3%","1630","53.5%","2905","60.8%","4535","58.2%","5274","54.7%","3.5pp"
"Impractical Joke","R","U","3133","3.08","1194","3.46","7051","91.8%","56.9%","1265","56.8%","1991","60.6%","3256","59.2%","3669","54.8%","4.4pp"
"Improvisation Capstone","R","M","429","","262","","1508","88.8%","60.1%","270","","429","","699","66.0%","739","53.3%","12.6pp"
"Living History","R","U","5564","5.66","1135","7.00","4981","68.8%","57.2%","839","59.8%","1350","56.1%","2189","57.6%","2782","56.9%","0.6pp"
"Maelstrom Artisan","R","R","2053","4.66","308","","729","38.1%","51.4%","126","","215","","341","","387","",""
"Magmablood Archaic","R","R","1082","2.57","507","2.64","2688","87.0%","53.8%","470","","820","57.1%","1290","56.4%","1386","51.3%","5.1pp"
"Mica, Reader of Ruins","R","U","5937","6.11","790","8.72","1509","32.0%","53.4%","232","","477","","709","52.0%","781","54.3%","-2.2pp"
"Molten-Core Maestro","R","R","838","1.95","493","","2942","91.5%","57.1%","517","61.9%","850","60.0%","1367","60.7%","1520","53.9%","6.8pp"
"Pigment Wrangler","R","U","4412","4.21","858","5.46","4153","76.5%","52.4%","725","49.1%","1154","55.9%","1879","53.3%","2202","51.3%","2.0pp"
"Rearing Embermare","R","C","15623","8.04","1856","11.59","1384","11.6%","48.9%","230","","389","","619","47.8%","764","49.9%","-2.1pp"
"Rubble Rouser","R","C","13266","5.66","2757","7.30","13248","74.5%","58.3%","2287","60.3%","3803","59.2%","6090","59.6%","7099","57.0%","2.6pp"
"Seize the Spoils","R","C","14872","6.74","2228","9.46","6263","44.4%","55.0%","1134","54.2%","1806","56.3%","2940","55.5%","3231","54.5%","1.0pp"
"Steal the Show","R","R","2023","4.34","341","","1198","54.2%","50.7%","211","","324","","535","51.0%","636","50.0%","1.0pp"
"Strife Scholar","R","C","15311","7.24","1908","10.41","3436","28.8%","50.4%","641","46.5%","887","53.4%","1528","50.5%","1877","50.3%","0.2pp"
"Tablet of Discovery","R","U","4815","4.71","1122","5.86","4553","66.5%","55.8%","759","53.8%","1346","57.6%","2105","56.2%","2376","55.6%","0.6pp"
"Tackle Artist","R","C","14460","6.65","1882","9.71","5496","46.1%","52.3%","891","50.6%","1519","53.6%","2410","52.5%","3021","51.7%","0.8pp"
"Thunderdrum Soloist","R","U","4616","4.53","900","5.93","4447","77.7%","55.0%","803","56.0%","1210","57.8%","2013","57.1%","2350","53.2%","3.9pp"
"Tome Blast","R","C","11340","4.67","2722","5.77","15169","86.3%","57.5%","2631","57.8%","4275","59.2%","6906","58.7%","8052","56.3%","2.4pp"
"Unsubtle Mockery","R","C","9982","4.00","2633","4.99","15662","91.5%","56.7%","2684","56.3%","4548","58.9%","7232","58.0%","8125","55.4%","2.5pp"
"Zealous Lorecaster","R","C","14996","7.13","2271","9.98","5729","39.6%","53.9%","977","47.1%","1684","57.5%","2661","53.7%","2986","53.9%","-0.2pp"
"Aberrant Manawurm","G","U","5556","5.68","667","8.49","1830","43.7%","48.4%","318","","516","51.4%","834","49.2%","974","47.9%","1.2pp"
"Additive Evolution","G","U","3657","3.56","889","4.28","4771","83.0%","55.2%","793","57.8%","1288","59.6%","2081","58.9%","2617","52.0%","6.9pp"
"Ambitious Augmenter","G","R","923","2.08","477","","2572","86.3%","56.0%","496","","669","56.1%","1165","60.3%","1354","52.4%","7.8pp"
"Burrog Barrage","G","C","12710","5.43","2055","7.36","9577","72.8%","54.7%","1647","56.0%","2439","58.5%","4086","57.5%","5403","52.6%","4.8pp"
"Chelonian Tackle","G","U","5697","5.94","689","8.60","1917","43.7%","48.9%","338","","466","","804","46.8%","1091","50.3%","-3.6pp"
"Comforting Counsel","G","R","1838","4.11","246","","693","45.0%","47.6%","127","","162","","289","","402","",""
"Efflorescence","G","C","15534","7.85","1530","11.73","949","9.9%","47.9%","148","","231","","379","","568","50.2%",""
"Emeritus of Abundance","G","M","348","","209","","1184","86.5%","55.2%","207","","311","","518","59.5%","642","51.6%","7.9pp"
"Emil, Vastlands Roamer","G","U","4127","4.13","754","5.36","3847","82.0%","53.3%","653","51.3%","1084","51.6%","1737","51.5%","2041","54.3%","-2.9pp"
"Environmental Scientist","G","U","3028","2.88","1214","3.19","6828","88.7%","57.7%","1315","64.7%","1796","61.9%","3111","63.1%","3598","52.8%","10.3pp"
"Follow the Lumarets","G","C","14966","7.11","1747","10.34","3795","34.9%","52.9%","671","49.9%","931","55.1%","1602","52.9%","2174","52.8%","0.2pp"
"Germination Practicum","G","M","326","","206","","1169","85.0%","54.7%","213","","323","","536","59.5%","598","50.5%","9.0pp"
"Glorious Decay","G","C","16018","8.04","1527","11.98","691","7.2%","50.4%","128","","176","","304","","384","",""
"Hungry Graffalon","G","C","15349","7.43","1600","11.12","2225","22.7%","50.2%","393","","574","52.4%","967","50.4%","1225","50.4%","-0.0pp"
"Infirmary Healer","G","U","4926","4.63","843","6.19","4159","80.0%","54.6%","729","51.3%","1016","59.3%","1745","55.9%","2371","53.6%","2.3pp"
"Lumaret's Favor","G","U","6551","6.92","710","10.21","979","23.1%","54.4%","163","","245","","408","","568","54.4%",""
"Mindful Biomancer","G","C","14215","6.25","1711","9.02","6345","58.2%","52.7%","1122","51.3%","1576","54.8%","2698","53.4%","3592","52.1%","1.2pp"
"Noxious Newt","G","C","11038","4.44","1883","5.99","10499","86.4%","55.0%","1946","55.4%","2727","57.1%","4673","56.4%","5695","53.8%","2.6pp"
"Oracle's Restoration","G","C","15186","7.50","1477","11.38","1928","20.8%","52.4%","314","","484","","798","52.0%","1124","52.5%","-0.5pp"
"Pestbrood Sloth","G","U","3784","3.56","948","4.39","5414","88.5%","56.0%","921","57.1%","1514","59.2%","2435","58.4%","2922","53.9%","4.5pp"
"Planar Engineering","G","R","2084","4.33","332","","1000","46.9%","54.9%","149","","293","","442","","544","52.6%",""
"Shopkeeper's Bane","G","C","14152","6.40","1557","9.41","5134","52.5%","52.9%","912","52.7%","1235","53.6%","2147","53.2%","2924","52.5%","0.7pp"
"Slumbering Trudge","G","R","936","2.15","441","","2424","83.9%","55.2%","450","","672","58.5%","1122","59.8%","1262","51.6%","8.2pp"
"Snarl Song","G","U","5073","5.18","1393","6.05","6627","72.8%","58.8%","1036","59.3%","1999","65.8%","3035","63.6%","3420","54.1%","9.5pp"
"Studious First-Year","G","C","9682","3.91","2250","4.89","12250","87.7%","54.5%","2260","59.6%","3150","55.8%","5410","57.4%","6707","52.3%","5.0pp"
"Tenured Concocter","G","C","15092","6.90","1734","10.13","4740","44.2%","52.4%","778","49.0%","1203","52.5%","1981","51.1%","2706","53.1%","-2.0pp"
"Thornfist Striker","G","U","4812","4.68","729","6.38","3245","72.1%","54.5%","600","52.7%","804","55.1%","1404","54.1%","1814","54.2%","-0.1pp"
"Topiary Lecturer","G","U","4258","4.18","751","5.39","3280","73.4%","51.0%","581","50.8%","900","53.9%","1481","52.7%","1749","49.4%","3.3pp"
"Vastlands Scavenger","G","R","853","1.96","431","","2277","88.0%","54.4%","396","","597","56.1%","993","56.0%","1242","52.7%","3.3pp"
"Wild Hypothesis","G","C","14680","6.83","1663","10.18","3922","38.1%","52.1%","692","49.7%","1102","55.5%","1794","53.3%","2046","50.4%","2.9pp"
"Wildgrowth Archaic","G","R","797","1.76","464","","2568","89.2%","54.1%","455","","669","58.1%","1124","56.3%","1388","51.9%","4.4pp"
"Zimone's Experiment","G","U","5681","5.82","843","8.02","2394","46.1%","50.6%","366","","696","52.7%","1062","52.0%","1305","50.0%","2.0pp"
"Abigale, Poet Laureate","WB","U","3805","3.67","782","4.52","3674","78.1%","54.6%","591","57.2%","893","52.3%","1484","54.2%","2182","54.7%","-0.4pp"
"Abstract Paintmage","UR","U","4770","4.98","733","6.62","2965","63.4%","51.7%","506","51.4%","889","52.4%","1395","52.0%","1516","51.1%","0.9pp"
"Applied Geometry","UG","R","1089","2.40","452","","2490","84.5%","56.1%","441","","675","61.2%","1116","60.1%","1312","52.8%","7.3pp"
"Ark of Hunger","WR","R","1025","2.29","606","2.29","3429","86.6%","60.8%","593","63.7%","949","69.4%","1542","67.3%","1850","55.2%","12.0pp"
"Aziza, Mage Tower Captain","WR","R","1582","3.43","405","","1844","69.0%","54.4%","317","","490","","807","54.0%","1036","54.8%","-0.8pp"
"Berta, Wise Extrapolator","UG","R","940","2.24","401","","2242","87.6%","52.4%","359","","683","56.4%","1042","55.8%","1180","49.3%","6.4pp"
"Blech, Loafing Pest","BG","R","1069","2.33","393","","1962","79.1%","56.7%","344","","487","","831","62.2%","1111","52.4%","9.8pp"
"Bogwater Lumaret","BG","C","10807","4.65","1661","6.19","8441","79.9%","54.8%","1508","55.4%","2000","55.1%","3508","55.2%","4793","54.2%","1.1pp"
"Borrowed Knowledge","WR","U","6734","7.69","766","11.35","160","3.3%","","27","","56","","83","","77","",""
"Cauldron of Essence","BG","R","1056","2.33","374","","1747","73.4%","52.5%","317","","437","","754","56.2%","975","49.4%","6.8pp"
"Colorstorm Stallion","UR","R","953","2.13","500","2.05","2925","85.9%","58.9%","538","65.8%","833","63.9%","1371","64.6%","1449","53.6%","11.1pp"
"Colossus of the Blood Age","WR","U","4451","4.21","1263","4.95","6362","79.8%","58.3%","1091","55.8%","1881","61.8%","2972","59.6%","3377","56.9%","2.7pp"
"Conciliator's Duelist","WB","R","1190","2.59","407","","1985","78.1%","54.4%","332","","533","58.9%","865","57.2%","1095","51.3%","5.9pp"
"Cuboid Colony","UG","U","4204","4.19","879","5.42","4347","78.3%","54.9%","762","58.8%","1211","56.7%","1973","57.5%","2315","52.5%","5.0pp"
"Dina's Guidance","BG","R","2455","5.06","274","","208","12.8%","","29","","53","","82","","126","",""
"Elemental Mascot","UR","C","13229","6.05","1956","8.38","7980","62.4%","55.1%","1384","55.0%","2284","58.3%","3668","57.0%","4148","53.2%","3.8pp"
"Embrace the Paradox","UG","C","14312","6.33","2234","8.67","8135","58.4%","54.0%","1358","53.5%","2327","57.5%","3685","56.0%","4317","52.0%","4.0pp"
"Essenceknit Scholar","BG","U","3431","3.47","757","4.24","4057","83.4%","56.1%","689","57.8%","975","58.9%","1664","58.4%","2331","54.4%","4.0pp"
"Fix What's Broken","WB","R","2094","4.67","284","","496","30.5%","","87","","114","","201","","288","",""
