"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Erode","W","R","673","2.44","198","","778","79.7%","54.1%","126","","191","","317","","455","",""
"Graduation Day","W","U","2996","5.11","464","","1373","57.2%","55.4%","234","","320","","554","51.8%","816","58.0%","-6.2pp"
"Group Project","W","U","2913","4.58","667","5.47","2823","79.7%","60.0%","518","59.3%","664","59.3%","1182","59.3%","1639","60.6%","-1.3pp"
"Harsh Annotation","W","U","3378","5.73","314","","570","32.4%","53.7%","107","","126","","233","","334","",""
"Honorbound Page","W","C","8817","6.37","1042","8.98","2559","47.5%","56.2%","396","","608","58.6%","1004","56.2%","1556","56.1%","0.1pp"
"Informed Inkwright","W","R","506","1.92","290","","1342","86.0%","58.7%","234","","318","","552","61.4%","781","56.6%","4.8pp"
"Inkshape Demonstrator","W","U","2811","4.83","436","","1570","67.6%","60.6%","276","","404","","680","60.3%","886","61.1%","-0.8pp"
"Interjection","W","C","9438","7.27","1023","10.56","1446","26.5%","55.3%","251","","379","","630","56.5%","811","54.3%","2.3pp"
"Joined Researchers","W","R","1140","3.92","262","","965","74.2%","56.2%","173","","236","","409","","555","56.4%",""
"Owlin Historian","W","C","8881","6.43","1160","9.14","3057","51.4%","57.9%","563","58.1%","756","57.3%","1319","57.6%","1739","58.0%","-0.4pp"
"Practiced Offense","W","R","611","2.14","307","","1506","86.9%","62.0%","241","","398","","639","67.1%","853","57.8%","9.3pp"
"Primary Research","W","U","3012","4.82","578","5.89","1856","64.0%","57.1%","293","","441","","734","56.0%","1115","57.7%","-1.7pp"
"Quill-Blade Laureate","W","U","2290","3.70","606","4.34","2602","85.3%","57.8%","490","","641","57.6%","1131","56.9%","1469","58.3%","-1.5pp"
"Rapier Wit","W","C","9330","6.96","1135","10.10","2118","36.1%","55.8%","368","","511","57.3%","879","56.0%","1224","55.6%","0.3pp"
"Rehearsed Debater","W","C","9349","6.85","1230","9.67","2748","43.4%","56.8%","477","","635","57.3%","1112","57.5%","1631","56.5%","1.0pp"
"Restoration Seminar","W","M","290","","125","","462","74.0%","","90","","131","","221","","237","",""
"Shattered Acolyte","W","C","8682","6.03","1231","8.33","4025","63.3%","56.6%","709","57.4%","968","54.3%","1677","55.6%","2337","57.5%","-1.8pp"
"Soaring Stoneglider","W","U","2918","4.68","525","5.81","2186","77.1%","58.3%","390","","515","59.4%","905","57.6%","1282","58.8%","-1.2pp"
"Spiritcall Enthusiast","W","U","2867","5.05","533","6.58","1558","58.7%","56.9%","272","","386","","658","54.9%","895","58.4%","-3.6pp"
"Stand Up for Yourself","W","U","2849","4.52","535","5.54","2413","83.1%","58.5%","411","","589","61.1%","1000","58.3%","1398","58.5%","-0.2pp"
"Stirring Hopesinger","W","R","466","","280","","1447","89.6%","61.7%","239","","392","","631","68.3%","806","56.5%","11.9pp"
"Stone Docent","W","C","8963","6.41","1345","8.72","4483","64.9%","60.1%","873","61.5%","928","60.0%","1801","60.7%","2681","59.7%","1.0pp"
"Summoned Dromedary","W","U","3134","5.11","542","6.65","1972","68.9%","58.3%","304","","482","","786","57.4%","1183","58.6%","-1.2pp"
"Banishing Betrayal","U","C","8970","6.30","1320","8.76","3833","57.8%","52.6%","715","50.8%","1104","56.3%","1819","54.2%","1928","51.0%","3.2pp"
"Brush Off","U","U","3714","6.21","587","8.40","1407","46.5%","56.4%","243","","398","","641","56.0%","726","56.1%","-0.1pp"
"Campus Composer","U","U","2572","4.11","648","5.06","2649","81.6%","53.7%","453","","795","55.8%","1248","54.3%","1347","52.9%","1.4pp"
"Chase Inspiration","U","C","9888","7.79","1184","11.24","1154","19.6%","54.2%","204","","335","","539","54.0%","592","53.4%","0.6pp"
"Deluge Virtuoso","U","C","8518","6.03","1246","8.50","3539","56.8%","52.3%","631","49.8%","1003","56.2%","1634","53.7%","1824","50.7%","3.1pp"
"Divergent Equation","U","U","3786","6.24","587","8.66","1434","48.3%","56.8%","216","","447","","663","59.4%","722","53.9%","5.5pp"
"Echocasting Symposium","U","M","231","","137","","582","82.2%","56.7%","97","","161","","258","","294","",""
"Emeritus of Ideation","U","M","188","","149","","648","88.3%","59.3%","110","","183","","293","","329","",""
"Encouraging Aviator","U","U","2843","4.58","526","5.70","1708","69.2%","49.8%","309","","455","","764","51.3%","917","48.6%","2.7pp"
"Essence Scatter","U","C","7822","5.46","1689","6.99","6725","79.4%","55.9%","1228","57.3%","1955","58.9%","3183","58.3%","3418","53.8%","4.4pp"
"Exhibition Tidecaller","U","R","891","3.12","265","","1111","77.8%","59.5%","172","","352","","524","65.1%","551","53.7%","11.4pp"
"Flow State","U","U","2501","4.03","659","4.72","2716","83.3%","54.6%","488","","848","61.7%","1336","60.0%","1307","48.6%","11.4pp"
"Fractal Anomaly","U","U","3913","6.50","533","9.21","660","24.6%","49.5%","93","","210","","303","","342","",""
"Fractalize","U","U","3711","6.36","538","8.91","1026","37.2%","51.9%","186","","280","","466","","541","50.6%",""
"Harmonized Trio","U","R","786","2.66","250","","936","73.4%","53.5%","177","","267","","444","","468","",""
"Homesickness","U","U","3181","5.19","692","6.47","2386","68.7%","53.7%","420","","693","58.6%","1113","55.7%","1216","51.2%","4.5pp"
"Hydro-Channeler","U","C","8245","5.74","1440","7.58","5475","75.6%","55.3%","1043","55.2%","1540","55.4%","2583","55.3%","2819","55.5%","-0.2pp"
"Jadzi, Steward of Fate","U","R","554","1.97","329","","1574","92.4%","56.6%","303","","471","","774","59.7%","768","52.6%","7.1pp"
"Landscape Painter","U","C","8518","5.89","1336","8.13","4178","64.1%","52.8%","691","49.3%","1168","56.8%","1859","54.0%","2250","51.8%","2.2pp"
"Mana Sculpt","U","R","1118","3.74","226","","741","62.5%","55.2%","141","","222","","363","","370","",""
"Mathemagics","U","M","425","","108","","429","75.5%","","74","","134","","208","","200","",""
"Matterbending Mage","U","U","2472","3.84","802","4.55","3543","87.4%","57.2%","621","54.3%","1046","61.3%","1667","58.7%","1783","55.8%","2.9pp"
"Muse Seeker","U","U","2766","4.41","648","5.32","2569","81.5%","55.2%","460","","755","55.2%","1215","54.8%","1321","55.6%","-0.7pp"
"Muse's Encouragement","U","C","9315","6.84","1373","9.39","2957","43.2%","52.6%","498","","876","53.2%","1374","53.8%","1526","51.1%","2.7pp"
"Orysa, Tide Choreographer","U","U","2996","4.70","640","5.70","2121","66.9%","54.0%","332","","624","57.2%","956","54.6%","1110","53.1%","1.5pp"
"Pensive Professor","U","R","617","2.23","302","","1373","92.4%","55.8%","254","","392","","646","58.4%","695","53.5%","4.8pp"
"Procrastinate","U","C","9151","6.70","1230","9.49","2781","45.8%","51.7%","504","48.4%","775","57.0%","1279","53.6%","1417","49.3%","4.4pp"
"Quick Study","U","C","8810","6.25","1299","8.80","3446","54.2%","53.9%","606","55.8%","1030","55.3%","1636","55.5%","1739","51.9%","3.6pp"
"Run Behind","U","C","8998","6.30","1638","8.51","5464","66.0%","56.6%","916","55.8%","1639","61.9%","2555","59.7%","2793","53.5%","6.2pp"
"Skycoach Conductor","U","R","636","2.20","315","","1405","86.4%","57.1%","236","","400","","636","61.3%","746","52.7%","8.6pp"
"Spellbook Seeker","U","C","8700","6.07","1123","8.72","2741","49.7%","51.0%","453","","851","56.6%","1304","53.5%","1406","49.0%","4.4pp"
"Tester of the Tangential","U","U","2851","4.71","632","6.00","2197","71.8%","53.1%","405","","581","52.5%","986","55.4%","1176","50.8%","4.6pp"
"Textbook Tabulator","U","C","9406","7.20","1222","10.34","1611","26.6%","49.0%","279","","459","","738","50.1%","853","47.9%","2.2pp"
"Wisdom of Ages","U","R","1455","4.84","253","","655","51.8%","58.0%","105","","196","","301","","323","",""
"Adventurous Eater","B","C","8074","5.33","1078","7.65","3796","71.1%","54.6%","672","55.2%","868","56.0%","1540","55.6%","2224","53.7%","1.9pp"
"Arcane Omens","B","U","4146","7.42","556","10.15","702","24.7%","57.8%","110","","191","","301","","390","",""
"Arnyn, Deathbloom Botanist","B","U","2641","4.06","425","","1543","74.0%","53.5%","274","","359","","633","52.4%","890","54.8%","-2.4pp"
"Burrog Banemaker","B","C","8368","5.57","1082","7.94","3551","66.4%","55.0%","661","57.9%","853","56.2%","1514","56.9%","2016","53.5%","3.4pp"
"Cheerful Osteomancer","B","C","8423","5.75","1097","8.14","3503","64.3%","53.9%","598","51.3%","865","56.1%","1463","54.1%","1985","53.6%","0.6pp"
"Cost of Brilliance","B","C","8769","6.17","1223","8.36","3956","61.6%","57.7%","654","53.2%","978","59.4%","1632","56.9%","2300","58.2%","-1.2pp"
"Decorum Dissertation","B","M","275","","133","","563","82.4%","56.7%","85","","137","","222","","336","",""
"Dissection Practice","B","U","2679","4.06","518","5.17","2086","80.3%","56.2%","366","","492","","858","57.0%","1222","55.8%","1.2pp"
"Emeritus of Woe","B","M","178","","125","","610","94.1%","57.0%","97","","164","","261","","348","",""
"End of the Hunt","B","U","2258","3.53","546","4.29","2461","86.7%","57.1%","438","","586","62.8%","1024","61.8%","1416","53.5%","8.3pp"
"Eternal Student","B","U","2821","4.43","663","5.48","2744","78.5%","56.6%","459","","655","55.7%","1114","54.9%","1623","57.4%","-2.5pp"
"Foolish Fate","B","U","1792","2.81","654","3.29","3227","92.2%","58.0%","574","57.1%","843","64.8%","1417","61.7%","1776","54.9%","6.8pp"
"Forum Necroscribe","B","U","2503","3.98","567","4.86","2244","79.0%","54.2%","382","","579","58.2%","961","56.4%","1257","52.0%","4.4pp"
"Grave Researcher","B","R","482","","246","","1134","93.0%","55.5%","196","","299","","495","","627","55.7%",""
"Last Gasp","B","C","6112","3.93","1437","4.89","6813","90.5%","57.5%","1208","57.9%","1703","58.3%","2911","58.1%","3855","56.9%","1.2pp"
"Lecturing Scornmage","B","U","2573","3.98","537","4.98","2326","82.4%","59.2%","410","","583","56.4%","993","57.5%","1328","60.5%","-3.0pp"
"Leech Collector","B","U","2639","4.07","455","","1684","77.2%","53.1%","302","","407","","709","53.6%","956","52.6%","1.0pp"
"Masterful Flourish","B","C","9227","7.03","1028","10.49","1444","27.4%","54.4%","226","","364","","590","54.2%","850","54.6%","-0.4pp"
"Melancholic Poet","B","C","8036","5.44","1189","7.44","4943","77.9%","57.6%","869","58.0%","1102","58.5%","1971","58.3%","2942","56.9%","1.4pp"
"Moseo, Vein's New Dean","B","R","506","1.86","248","","1173","88.9%","58.9%","187","","295","","482","","670","54.5%",""
"Poisoner's Apprentice","B","U","2516","3.92","623","4.66","2392","76.1%","55.2%","406","","546","55.9%","952","56.4%","1408","54.3%","2.1pp"
"Postmortem Professor","B","R","663","2.28","255","","1095","81.8%","59.9%","197","","278","","475","","617","57.2%",""
"Pox Plague","B","R","1830","5.91","198","","5","0.5%","","0","","0","","0","","5","",""
"Pull from the Grave","B","C","9128","6.70","1120","9.86","2345","40.6%","52.8%","387","","564","54.4%","951","52.2%","1379","52.9%","-0.7pp"
"Rabid Attack","B","U","3504","5.96","420","","853","39.7%","55.6%","138","","214","","352","","496","",""
"Ral Zarek, Guest Lecturer","B","M","219","","142","","557","77.0%","53.3%","105","","130","","235","","316","",""
"Scathing Shadelock","B","U","3009","4.61","459","","1605","71.2%","54.5%","273","","415","","688","53.8%","909","54.9%","-1.1pp"
"Scheming Silvertongue","B","R","473","","259","","1124","88.9%","52.9%","222","","285","","507","55.8%","615","50.7%","5.1pp"
"Send in the Pest","B","C","8111","5.42","1298","7.37","4823","70.7%","56.1%","864","60.6%","1193","55.4%","2057","57.6%","2746","55.0%","2.6pp"
"Sneering Shadewriter","B","C","8854","6.31","1071","9.22","3089","56.3%","53.4%","496","","779","54.8%","1275","53.2%","1791","53.4%","-0.3pp"
"Tragedy Feaster","B","R","713","2.44","259","","1085","82.4%","59.5%","172","","297","","469","","604","59.6%",""
"Ulna Alley Shopkeep","B","C","9591","7.25","1049","10.68","1337","26.0%","51.2%","237","","313","","550","48.9%","777","52.9%","-4.0pp"
"Wander Off","B","C","6107","3.97","1315","5.12","5966","87.9%","55.2%","1015","53.3%","1527","58.5%","2542","56.4%","3383","54.1%","2.3pp"
"Withering Curse","B","M","345","","136","","462","73.8%","","62","","125","","187","","267","",""
"Ancestral Anger","R","C","9405","7.72","1260","10.77","1290","19.5%","57.0%","240","","323","","563","56.8%","716","56.8%","-0.0pp"
"Archaic's Agony","R","U","4221","7.37","645","10.16","741","22.6%","56.8%","121","","214","","335","","393","",""
"Artistic Process","R","U","2682","4.23","672","5.11","2815","80.7%","58.4%","471","","837","62.2%","1308","60.2%","1425","56.3%","4.0pp"
"Blazing Firesinger","R","U","3181","5.06","524","6.60","1511","59.3%","53.7%","264","","425","","689","51.2%","797","55.5%","-4.2pp"
"Charging Strifeknight","R","U","3099","4.80","642","6.08","2503","76.4%","58.7%","449","","684","58.3%","1133","60.3%","1344","57.2%","3.1pp"
"Choreographed Sparks","R","R","1563","5.01","177","","155","18.3%","","23","","37","","60","","95","",""
"Duel Tactics","R","U","3725","6.48","535","8.87","1038","37.1%","59.6%","177","","268","","445","","583","58.7%",""
"Emeritus of Conflict","R","M","242","","124","","532","92.4%","57.1%","91","","150","","241","","287","",""
"Expressive Firedancer","R","C","8803","6.54","1401","8.85","3850","53.1%","57.1%","662","59.5%","1030","53.0%","1692","55.6%","2128","58.5%","-2.9pp"
"Flashback","R","R","1269","4.20","219","","595","52.8%","57.1%","101","","163","","264","","309","",""
"Garrison Excavator","R","U","3248","5.20","618","6.72","2077","65.8%","59.8%","349","","550","60.4%","899","59.7%","1176","60.1%","-0.4pp"
"Goblin Glasswright","R","C","7959","5.45","1519","7.13","5790","76.0%","54.9%","1013","55.5%","1570","54.1%","2583","54.6%","3133","55.3%","-0.7pp"
"Heated Argument","R","C","8905","6.44","1370","8.88","3983","54.3%","58.3%","673","56.9%","1105","62.6%","1778","60.5%","2120","56.9%","3.6pp"
"Impractical Joke","R","U","2224","3.46","738","3.97","3581","92.7%","59.5%","630","57.6%","1025","63.2%","1655","61.1%","1860","57.8%","3.3pp"
"Improvisation Capstone","R","M","276","","151","","645","88.0%","58.3%","140","","170","","310","","303","",""
"Living History","R","U","3694","6.26","598","8.12","1632","52.2%","60.5%","280","","445","","725","60.3%","905","60.7%","-0.4pp"
"Maelstrom Artisan","R","R","1206","4.04","179","","357","40.1%","","54","","103","","157","","196","",""
"Magmablood Archaic","R","R","749","2.61","336","","1493","85.1%","58.5%","238","","468","","706","59.8%","764","57.9%","1.9pp"
"Mica, Reader of Ruins","R","U","3491","5.88","482","","811","33.0%","56.7%","123","","250","","373","","425","",""
"Molten-Core Maestro","R","R","573","1.94","303","","1485","92.1%","58.7%","273","","399","","672","62.1%","784","55.7%","6.3pp"
"Pigment Wrangler","R","U","2724","4.21","630","5.18","2516","81.9%","55.2%","420","","716","57.4%","1136","56.3%","1342","54.0%","2.2pp"
"Rearing Embermare","R","C","9903","7.97","1189","11.61","627","10.1%","54.1%","116","","161","","277","","341","",""
"Rubble Rouser","R","C","8928","6.48","1467","8.88","4535","57.4%","58.4%","807","62.6%","1157","58.9%","1964","60.4%","2547","56.7%","3.8pp"
"Seize the Spoils","R","C","9166","6.84","1291","9.60","2870","42.6%","56.0%","488","","836","57.4%","1324","57.1%","1494","55.0%","2.1pp"
"Steal the Show","R","R","1163","4.08","220","","721","60.8%","54.0%","107","","225","","332","","379","",""
"Strife Scholar","R","C","9539","7.09","1198","10.05","1984","33.1%","54.9%","382","","518","59.7%","900","56.9%","1064","53.1%","3.8pp"
"Tablet of Discovery","R","U","3120","5.07","598","6.04","1853","63.1%","55.0%","335","","525","58.5%","860","56.4%","957","54.0%","2.4pp"
"Tackle Artist","R","C","8975","6.80","1261","9.48","3210","49.3%","55.5%","532","52.1%","906","57.6%","1438","55.6%","1732","55.4%","0.1pp"
"Thunderdrum Soloist","R","U","3013","4.65","552","6.01","2075","72.7%","54.6%","374","","579","52.2%","953","53.2%","1090","55.6%","-2.4pp"
"Tome Blast","R","C","7824","5.33","1595","6.85","6528","77.4%","58.4%","1156","58.7%","1851","61.9%","3007","60.7%","3399","56.2%","4.5pp"
"Unsubtle Mockery","R","C","6838","4.60","1599","5.80","7542","89.1%","58.3%","1339","58.2%","2138","60.0%","3477","59.3%","3894","57.3%","2.0pp"
"Zealous Lorecaster","R","C","9552","7.42","1385","10.40","2638","36.3%","56.9%","457","","795","58.2%","1252","56.5%","1337","56.5%","-0.0pp"
"Aberrant Manawurm","G","U","3465","5.62","514","8.09","1316","51.2%","52.3%","219","","351","","570","52.8%","740","51.8%","1.1pp"
"Additive Evolution","G","U","2457","4.02","586","4.98","2425","81.3%","55.1%","424","","621","58.5%","1045","59.5%","1354","51.2%","8.3pp"
"Ambitious Augmenter","G","R","563","2.08","276","","1245","91.6%","56.9%","214","","329","","543","62.2%","686","52.3%","9.9pp"
"Burrog Barrage","G","C","8021","5.45","1510","7.18","5629","74.5%","55.4%","970","53.3%","1493","59.4%","2463","57.0%","3106","53.9%","3.1pp"
"Chelonian Tackle","G","U","3589","5.81","535","8.09","1245","47.3%","51.2%","169","","302","","471","","765","50.8%",""
"Comforting Counsel","G","R","1014","3.92","153","","374","50.2%","","65","","87","","152","","221","",""
"Efflorescence","G","C","9567","7.50","997","11.29","731","15.2%","50.6%","141","","189","","330","","398","",""
"Emeritus of Abundance","G","M","206","","131","","577","91.6%","55.6%","99","","143","","242","","313","",""
"Emil, Vastlands Roamer","G","U","2663","4.16","600","5.03","2351","80.0%","51.9%","403","","658","54.4%","1061","54.0%","1254","49.7%","4.3pp"
"Environmental Scientist","G","U","2015","2.99","744","3.38","3541","91.4%","57.8%","668","63.9%","880","63.3%","1548","63.6%","1932","53.1%","10.5pp"
"Follow the Lumarets","G","C","9183","6.72","1120","9.60","2180","40.5%","53.7%","389","","552","54.0%","941","53.6%","1232","53.8%","-0.3pp"
"Germination Practicum","G","M","238","","162","","660","88.2%","52.4%","114","","167","","281","","366","",""
"Glorious Decay","G","C","9575","7.63","965","11.55","502","10.6%","47.0%","76","","127","","203","","296","",""
"Hungry Graffalon","G","C","9598","7.22","1058","10.67","1256","23.6%","49.7%","212","","338","","550","48.2%","691","50.7%","-2.5pp"
"Infirmary Healer","G","U","2911","4.40","583","5.64","2464","81.9%","55.1%","446","","647","56.7%","1093","55.4%","1347","54.9%","0.5pp"
"Lumaret's Favor","G","U","3957","6.60","499","","813","31.4%","52.8%","138","","207","","345","","467","",""
"Mindful Biomancer","G","C","8570","6.07","1265","8.52","3974","63.4%","53.8%","688","53.2%","986","52.9%","1674","53.0%","2278","54.3%","-1.2pp"
"Noxious Newt","G","C","6607","4.34","1296","5.62","5738","89.7%","54.8%","1019","57.5%","1509","55.2%","2528","56.1%","3154","53.7%","2.4pp"
"Oracle's Restoration","G","C","9074","6.94","1047","10.35","1599","31.3%","50.2%","271","","420","","691","50.7%","908","49.0%","1.6pp"
"Pestbrood Sloth","G","U","2527","3.91","639","4.89","2890","88.1%","57.1%","498","","749","60.3%","1247","60.9%","1608","53.9%","7.1pp"
"Planar Engineering","G","R","1208","4.21","177","","321","39.1%","","59","","90","","149","","167","",""
"Shopkeeper's Bane","G","C","8756","6.16","1053","9.09","2889","57.7%","54.1%","512","52.0%","698","56.3%","1210","54.5%","1639","54.1%","0.4pp"
"Slumbering Trudge","G","R","594","2.21","261","","1276","91.3%","58.0%","209","","354","","563","60.7%","684","56.0%","4.8pp"
"Snarl Song","G","U","3561","5.88","783","7.08","2452","60.5%","58.6%","430","","709","67.6%","1139","63.9%","1256","53.8%","10.1pp"
"Studious First-Year","G","C","6211","4.00","1361","5.09","5979","87.3%","54.9%","1122","60.5%","1494","54.4%","2616","57.0%","3290","53.6%","3.3pp"
"Tenured Concocter","G","C","9133","6.65","1225","9.55","2866","48.6%","53.6%","443","","729","56.7%","1172","53.8%","1653","53.2%","0.7pp"
"Thornfist Striker","G","U","3101","4.81","596","6.33","1968","69.3%","54.1%","324","","488","","812","56.5%","1132","51.8%","4.8pp"
"Topiary Lecturer","G","U","2722","4.19","544","5.24","2080","77.3%","54.5%","384","","563","57.4%","947","56.4%","1112","52.9%","3.5pp"
"Vastlands Scavenger","G","R","495","","268","","1241","88.1%","55.0%","217","","322","","539","60.3%","687","50.9%","9.4pp"
"Wild Hypothesis","G","C","9057","6.58","1072","9.64","2276","43.8%","53.8%","406","","639","58.2%","1045","55.2%","1183","52.9%","2.3pp"
"Wildgrowth Archaic","G","R","511","2.05","294","","1317","87.2%","55.7%","233","","366","","599","58.1%","692","53.9%","4.2pp"
"Zimone's Experiment","G","U","3374","5.49","492","","1248","53.4%","51.4%","209","","372","","581","53.2%","656","49.5%","3.6pp"
"Abigale, Poet Laureate","WB","U","2236","3.58","512","4.21","2174","79.8%","56.5%","382","","553","56.1%","935","55.0%","1223","57.5%","-2.5pp"
"Abstract Paintmage","UR","U","2690","4.55","542","5.58","1990","72.2%","54.9%","362","","593","54.6%","955","53.0%","1010","56.6%","-3.6pp"
"Applied Geometry","UG","R","671","2.51","307","","1370","85.9%","55.8%","212","","403","","615","59.2%","712","53.1%","6.1pp"
"Ark of Hunger","WR","R","784","3.01","310","","1394","79.6%","64.8%","254","","390","","644","69.3%","738","61.1%","8.1pp"
"Aziza, Mage Tower Captain","WR","R","1027","3.55","263","","954","68.9%","57.9%","167","","246","","413","","538","59.9%",""
"Berta, Wise Extrapolator","UG","R","638","2.37","305","","1248","83.4%","54.3%","242","","349","","591","56.9%","638","51.6%","5.3pp"
"Blech, Loafing Pest","BG","R","647","2.41","270","","1026","79.5%","54.5%","186","","256","","442","","562","50.5%",""
"Bogwater Lumaret","BG","C","6742","4.62","1279","5.97","5253","82.4%","55.8%","897","58.5%","1305","58.2%","2202","58.4%","2978","53.8%","4.6pp"
"Borrowed Knowledge","WR","U","4109","7.60","443","","101","4.5%","","14","","26","","40","","60","",""
"Cauldron of Essence","BG","R","611","2.34","238","","902","80.5%","54.2%","132","","246","","378","","519","50.7%",""
"Colorstorm Stallion","UR","R","590","2.14","323","","1536","90.3%","58.0%","257","","488","","745","61.3%","744","54.0%","7.3pp"
"Colossus of the Blood Age","WR","U","3097","4.81","693","5.94","2436","68.6%","58.8%","354","","712","61.4%","1066","60.0%","1352","57.5%","2.6pp"
"Conciliator's Duelist","WB","R","687","2.60","263","","1036","75.4%","55.8%","174","","251","","425","","602","53.7%",""
"Cuboid Colony","UG","U","2593","4.00","587","4.91","2240","78.5%","53.5%","405","","612","53.3%","1017","55.0%","1179","51.7%","3.3pp"
"Dina's Guidance","BG","R","1371","4.68","146","","144","20.5%","","26","","39","","65","","79","",""
"Elemental Mascot","UR","C","8216","5.94","1422","7.94","5089","69.5%","56.9%","872","55.3%","1540","59.2%","2412","57.8%","2562","56.0%","1.7pp"
"Embrace the Paradox","UG","C","8905","6.37","1413","8.66","4067","56.3%","54.8%","663","50.1%","1142","58.5%","1805","55.4%","2199","54.1%","1.3pp"
"Essenceknit Scholar","BG","U","2055","3.31","567","3.75","2521","84.5%","56.6%","449","","665","58.2%","1114","59.0%","1355","55.0%","4.0pp"
"Fix What's Broken","WB","R","1107","4.22","170","","281","32.6%","","43","","68","","111","","169","",""
"Fractal Mascot","UG","C","8912","6.54","1274","9.34","3289","51.4%","54.1%","579","48.9%","941","56.1%","1520","53.4%","1705","54.1%","-0.8pp"
"Fractal Tender","UG","U","2902","4.47","545","6.05","1908","69.5%","53.7%","325","","553","56.4%","878","56.2%","987","51.2%","5.0pp"
"Geometer's Arthropod","UG","R","1151","3.92","226","","656","56.6%","56.4%","139","","177","","316","","328","",""
"Grapple with Death","BG","C","6047","4.09","1245","5.29","5566","87.1%","55.9%","962","52.7%","1517","62.0%","2479","58.4%","3049","53.8%","4.6pp"
"Growth Curve","UG","U","3715","6.65","447","","564","25.0%","44.7%","89","","155","","244","","315","",""
"Hardened Academic","WR","R","712","2.72","264","","1109","78.2%","60.5%","181","","320","","501","64.3%","612","57.4%","6.9pp"
"Imperious Inkmage","WB","C","8854","6.71","1128","9.39","3194","53.4%","57.5%","579","59.4%","778","58.2%","1357","58.7%","1827","56.5%","2.2pp"
"Inkling Mascot","WB","C","8495","6.36","1288","8.36","4456","66.3%","56.8%","804","58.2%","1026","53.9%","1830","55.8%","2613","57.5%","-1.7pp"
"Killian's Confidence","WB","U","2649","4.37","477","","1824","73.1%","56.4%","301","","434","","735","57.4%","1075","55.6%","1.8pp"
"Kirol, History Buff","WR","U","2976","4.81","576","5.97","2190","75.1%","60.0%","354","","568","57.0%","922","58.7%","1266","61.1%","-2.4pp"
"Lluwen, Exchange Student","BG","U","2147","3.33","537","3.94","2225","81.4%","57.6%","359","","537","61.6%","896","59.7%","1292","55.8%","3.9pp"
"Lorehold Charm","WR","U","3381","5.76","488","","1274","51.0%","58.7%","196","","319","","515","57.7%","761","59.4%","-1.7pp"
"Lorehold, the Historian","WR","M","194","","149","","669","90.5%","54.3%","109","","196","","305","","364","",""
"Mind into Matter","UG","R","752","2.67","313","","1332","83.4%","53.4%","222","","370","","592","55.2%","686","50.3%","4.9pp"
"Mind Roots","BG","U","2963","4.67","632","5.98","2234","68.7%","54.3%","408","","567","55.7%","975","53.9%","1249","54.4%","-0.4pp"
"Molten Note","WR","U","3342","5.05","681","6.53","2384","69.6%","59.3%","418","","619","62.4%","1037","60.7%","1331","57.9%","2.7pp"
"Moment of Reckoning","WB","R","771","2.61","254","","1184","80.4%","61.9%","209","","322","","531","65.5%","625","58.2%","7.3pp"
"Nita, Forum Conciliator","WB","R","1004","3.48","227","","648","55.5%","53.5%","105","","164","","269","","371","",""
"Old-Growth Educator","BG","U","2739","4.29","502","5.64","1882","75.0%","53.7%","294","","478","","772","54.9%","1084","53.0%","2.0pp"
